,Project,Repository,Language,ByteCount,logByteCount,Project_Repo,Project_codes,Repository_codes,Language_codes,Project_Repo_codes
0,Project_0,Repo_1,Lua,30000000,17.216707939626428,Project_0_Repo_1,0,0,13,0
1,Project_1,Repo_1,Java,4382078,15.293033599070412,Project_1_Repo_1,1,0,9,1
2,Project_1,Repo_1,SQL,1233534,14.025393778414397,Project_1_Repo_1,1,0,18,1
3,Project_1,Repo_1,Groovy,4381,8.385032287813898,Project_1_Repo_1,1,0,7,1
4,Project_1,Repo_1,Rust,648982,13.383160260324718,Project_1_Repo_1,1,0,17,1
5,Project_1,Repo_1,C#,1875893,14.444595370674344,Project_1_Repo_1,1,0,1,1
6,Project_1,Repo_1,Lua,32948,10.402685840061139,Project_1_Repo_1,1,0,13,1
7,Project_1,Repo_1,Kotlin,1695761,14.343642165592534,Project_1_Repo_1,1,0,12,1
8,Project_1,Repo_2,Bash,466806,13.05366903278237,Project_1_Repo_2,1,1,0,2
9,Project_1,Repo_2,Kotlin,727586,13.49748748409959,Project_1_Repo_2,1,1,12,2
10,Project_1,Repo_2,Python,1906754,14.460912877834694,Project_1_Repo_2,1,1,15,2
11,Project_1,Repo_2,Rails,67459,11.119275284906601,Project_1_Repo_2,1,1,16,2
12,Project_1,Repo_2,Elixir,270740,12.508914229739776,Project_1_Repo_2,1,1,5,2
13,Project_1,Repo_2,Go,459087,13.036995013565436,Project_1_Repo_2,1,1,6,2
14,Project_1,Repo_2,JavaScript,351838,12.770926121370431,Project_1_Repo_2,1,1,10,2
15,Project_1,Repo_2,TypeScript,194882,12.180149526176788,Project_1_Repo_2,1,1,21,2
16,Project_1,Repo_3,Scala,3334020,15.019689341075123,Project_1_Repo_3,1,2,19,3
17,Project_1,Repo_3,Rust,327428,12.699023462559232,Project_1_Repo_3,1,2,17,3
18,Project_1,Repo_4,Python,2957610,14.89989206771867,Project_1_Repo_4,1,3,15,4
19,Project_2,Repo_1,Python,2709092,14.812124081361745,Project_2_Repo_1,2,0,15,5
20,Project_2,Repo_2,JavaScript,1019474,13.834797365974048,Project_2_Repo_2,2,1,10,6
21,Project_2,Repo_2,Swift,82515,11.320735373977667,Project_2_Repo_2,2,1,20,6
22,Project_2,Repo_2,C#,124945,11.735628919456033,Project_2_Repo_2,2,1,1,6
23,Project_2,Repo_2,CSS,188897,12.14895717194475,Project_2_Repo_2,2,1,3,6
24,Project_2,Repo_2,Objective-C,172084,12.055738008673774,Project_2_Repo_2,2,1,14,6
25,Project_2,Repo_2,Go,566432,13.247112316940884,Project_2_Repo_2,2,1,6,6
26,Project_3,Repo_1,Python,1452553,14.188833255854895,Project_3_Repo_1,3,0,15,7
27,Project_3,Repo_1,Julia,930289,13.743250569543994,Project_3_Repo_1,3,0,11,7
28,Project_3,Repo_2,Bash,1124767,13.933086461059078,Project_3_Repo_2,3,1,0,8
29,Project_3,Repo_2,Java,4760272,15.375815367432155,Project_3_Repo_2,3,1,9,8
30,Project_3,Repo_2,Groovy,2575454,14.761536387218683,Project_3_Repo_2,3,1,7,8
31,Project_3,Repo_2,Clojure,468672,13.057658442420742,Project_3_Repo_2,3,1,4,8
32,Project_3,Repo_3,HTML,1640252,14.310360446532703,Project_3_Repo_3,3,2,8,9
33,Project_3,Repo_3,TypeScript,1374855,14.133858828976633,Project_3_Repo_3,3,2,21,9
34,Project_3,Repo_3,Java,3715591,15.128048308272739,Project_3_Repo_3,3,2,9,9
35,Project_3,Repo_4,C++,646963,13.380044384830796,Project_3_Repo_4,3,3,2,10
36,Project_3,Repo_4,C#,9099830,16.023766289993898,Project_3_Repo_4,3,3,1,10
